Label,B2_Blue,B3_Green,B4_Red,B8_NIR,B11_SWIR1,B12_SWIR2,NDVI,NDWI,EVI,SAVI,Elevation,Slope,Aspect,Annual_Rainfall,LST_Celsius,Longitude,Latitude
1,811.6428571428571,1107.1666666666667,1232.1333333333334,3089.6666666666665,2477.8888888888887,1854.6964285714284,0.4298055,-0.47237998,1.0563421092396421,0.6446336441246557,1003,1,90,317.8881287574768,27.930000000000007,32.95420212451838,37.61160754656446
1,800.4166666666666,1060.5833333333333,1339.7083333333335,2350.0,2305.166666666667,1903.25,0.27381343,-0.37806338,0.5758452316490447,0.4106644837125275,1004,3,52,317.8881287574768,28.27000000000004,32.9843855180648,37.62400429748531
1,710.85,1012.6666666666666,1080.8333333333335,3753.75,2183.666666666667,1303.5,0.55287427,-0.5750826,1.3614061001179956,0.8292256252046671,1002,2,212,317.8881287574768,27.83000000000004,32.952585157006965,37.6450248751337
1,812.75,1011.5,1196.5,2681.75,2266.0,1679.0,0.3829691,-0.45224395,0.9859271797935544,0.5743796326135997,1004,1,90,311.7065831422806,28.258333333333383,32.93749346023376,37.677094730776766
1,682.8,976.2857142857143,1198.0,2474.625,2130.25,1489.0,0.3476056,-0.43418664,0.7025811067389449,0.5213374170495151,1006,4,320,300.8850322961807,28.27333333333337,32.89545230493697,37.69488137340233
1,781.875,1003.75,1208.5,2550.6666666666665,2355.3333333333335,1676.6,0.35703835,-0.43520972,0.8519304110487536,0.5354863019771255,1003,1,232,321.9317727088928,30.910000000000025,32.865538405975784,37.72371729402257
1,671.375,989.25,844.8,3946.25,2107.5,1336.0,0.64734244,-0.5991288,1.9477860572318573,0.9709123352568583,1002,0,0,361.17630755901337,28.060000000000002,32.79735627591111,37.770339857268375
1,1133.3333333333333,1394.8,1749.5,3608.75,2865.0,2127.0,0.3469883,-0.44247586,0.8290230525705623,0.5204338698390483,1002,1,180,348.5959881544113,28.476666666666688,32.85853154675966,37.7727653085355
1,995.0,1173.8333333333335,1330.0,2350.3333333333335,2724.142857142857,2277.0,0.27723938,-0.33383778,0.8891535467379306,0.41580258093728784,1000,2,0,350.2360442876816,28.485000000000014,32.83643299077031,37.795133359110075
1,858.75,1118.75,1170.8,3348.5,2940.3333333333335,2229.5,0.48186666,-0.49913257,1.3840111346260178,0.7227200318598167,999,4,212,364.2163004875183,29.060000000000002,32.773371257825126,37.80699112086045
1,1290.0,1641.75,2092.6,3087.0,4009.3333333333335,3054.75,0.19198394,-0.30563045,0.4165130851455954,0.28794810910986274,1000,3,248,339.3519606590271,29.04333333333335,32.74507432637536,37.848762781572006
1,1314.7857142857142,1641.142857142857,1965.4,3274.6,3418.85,2670.153846153846,0.24984732,-0.332291,0.6285639819203147,0.37473523518748203,1003,3,128,338.6683735847473,28.77000000000004,32.72620970540885,37.88568353974932
